@relation sentiment

@attribute "1,-1" numeric
@attribute "1,-2" numeric
@attribute "1,-3" numeric
@attribute "1,-4" numeric
@attribute "1,-5" numeric
@attribute "2,-1" numeric
@attribute "2,-2" numeric
@attribute "2,-3" numeric
@attribute "2,-4" numeric
@attribute "2,-5" numeric
@attribute "3,-1" numeric
@attribute "3,-2" numeric
@attribute "3,-3" numeric
@attribute "3,-4" numeric
@attribute "3,-5" numeric
@attribute "4,-1" numeric
@attribute "4,-2" numeric
@attribute "4,-3" numeric
@attribute "4,-4" numeric
@attribute "4,-5" numeric
@attribute "5,-1" numeric
@attribute "5,-2" numeric
@attribute "5,-3" numeric
@attribute "5,-4" numeric
@attribute "5,-5" numeric
@attribute classification {P, PE}

@data
25,3,1,0,0,17,1,0,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
9,3,0,0,0,7,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
40,1,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
36,1,0,0,0,5,0,0,0,0,12,1,0,0,0,2,0,0,0,0,0,0,0,0,0,PE
18,3,1,1,0,12,1,1,0,0,9,3,0,0,0,5,0,0,0,0,0,0,0,0,0,PE
20,1,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,PE
27,0,0,1,0,6,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
12,2,0,0,0,9,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,PE
15,3,1,0,0,8,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PE
8,0,0,0,0,13,1,0,0,0,6,1,0,0,0,2,0,0,0,0,0,0,0,0,0,PE
11,6,1,0,0,4,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,PE
11,5,0,0,0,8,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,PE
28,3,0,0,0,9,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
23,2,1,0,0,7,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
6,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
15,3,0,0,0,5,0,0,0,0,7,5,0,0,0,2,0,0,0,0,0,0,0,0,0,PE
24,2,1,0,0,11,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
26,2,0,0,0,8,0,0,0,0,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
12,0,1,0,0,6,2,0,0,0,8,4,0,0,0,0,1,0,0,0,0,0,0,0,0,PE
18,1,0,0,0,9,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
19,2,1,0,0,9,0,1,0,0,7,3,0,0,0,2,0,0,0,0,0,0,0,0,0,PE
22,1,1,0,0,5,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
20,1,0,0,0,8,2,0,0,0,7,2,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
11,0,0,0,0,4,1,0,0,0,10,1,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
16,2,0,0,0,4,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,PE
29,3,1,0,0,12,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
21,0,0,0,0,12,0,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
18,1,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
23,2,1,0,0,7,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
22,2,0,0,0,10,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
41,2,0,0,0,9,3,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
37,1,1,0,0,9,2,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,PE
13,0,1,0,0,5,0,1,0,0,8,2,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
16,0,0,0,0,10,2,0,0,0,6,3,0,0,0,2,1,0,0,0,0,0,0,0,0,PE
20,4,0,1,0,11,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
12,1,1,1,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
21,4,0,0,0,13,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,PE
2,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
10,2,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,PE
8,0,0,0,0,7,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,PE
29,3,0,1,0,10,1,3,0,0,7,2,0,0,0,1,0,2,0,0,0,0,0,0,0,PE
41,7,1,1,0,15,2,0,0,0,5,1,0,0,0,3,1,0,0,0,0,0,0,0,0,PE
41,6,0,0,0,6,0,0,0,0,7,2,0,0,0,2,0,0,0,0,0,0,0,0,0,PE
20,4,0,0,0,8,0,0,0,0,4,1,0,0,0,2,0,0,0,0,1,0,0,0,0,PE
