@relation sentiment

@attribute "1,-1" numeric
@attribute "1,-2" numeric
@attribute "1,-3" numeric
@attribute "1,-4" numeric
@attribute "1,-5" numeric
@attribute "2,-1" numeric
@attribute "2,-2" numeric
@attribute "2,-3" numeric
@attribute "2,-4" numeric
@attribute "2,-5" numeric
@attribute "3,-1" numeric
@attribute "3,-2" numeric
@attribute "3,-3" numeric
@attribute "3,-4" numeric
@attribute "3,-5" numeric
@attribute "4,-1" numeric
@attribute "4,-2" numeric
@attribute "4,-3" numeric
@attribute "4,-4" numeric
@attribute "4,-5" numeric
@attribute "5,-1" numeric
@attribute "5,-2" numeric
@attribute "5,-3" numeric
@attribute "5,-4" numeric
@attribute "5,-5" numeric
@attribute classification {P, PE}

@data
0,539,178,56,2,850,177,53,24,3,354,120,34,24,2,58,19,11,0,0,1,0,0,0,0,PE
0,545,180,60,3,903,178,55,25,3,395,122,34,27,2,65,20,12,0,0,1,0,0,0,0,PE
0,546,181,62,3,936,181,56,27,3,412,123,34,27,2,67,20,12,0,0,1,0,0,0,0,PE
0,547,181,63,3,939,181,56,27,3,412,123,34,27,2,67,20,12,0,0,1,0,0,0,0,PE
0,552,184,66,3,950,181,56,27,3,419,123,34,27,2,67,20,12,0,0,1,0,0,0,0,PE
0,554,188,74,4,972,181,57,27,3,434,123,35,28,2,68,20,13,0,0,1,0,0,0,0,PE
0,555,189,76,4,983,182,57,27,3,447,123,35,28,2,69,20,13,0,0,2,0,0,0,0,PE
0,556,189,78,4,998,182,57,27,3,451,123,36,28,2,69,20,13,0,0,2,0,0,0,0,PE
0,558,190,86,4,1027,185,59,27,3,469,123,37,31,2,71,20,13,0,0,2,0,0,0,0,PE
0,558,190,89,4,1037,186,59,27,3,480,123,37,31,2,71,20,13,0,0,2,0,0,0,0,PE
0,564,190,92,4,1067,186,59,28,3,499,124,39,32,2,71,20,13,0,0,2,0,0,0,0,PE
0,567,193,98,4,1092,189,59,28,3,518,124,39,33,2,74,20,13,0,0,2,0,0,0,0,PE
0,572,194,102,4,1110,190,60,29,3,533,124,39,35,2,74,20,13,0,0,2,0,0,0,0,PE
0,574,196,104,4,1129,190,60,30,3,550,124,39,35,2,77,20,13,0,0,2,0,0,0,0,PE
0,576,196,106,4,1141,190,60,31,4,557,124,39,36,2,77,20,13,0,0,2,0,0,0,0,PE
0,576,196,107,4,1162,192,62,31,4,569,124,39,36,2,80,20,13,0,0,2,0,0,0,0,PE
0,577,197,109,4,1188,197,62,31,4,583,124,40,37,2,84,20,13,0,0,2,0,0,0,0,PE
0,580,200,110,4,1204,198,62,31,4,590,124,40,37,2,85,20,13,0,0,2,0,0,0,0,PE
0,584,202,113,4,1216,200,62,32,4,596,126,40,37,2,85,20,13,0,0,2,0,0,0,0,PE
0,587,202,113,4,1226,202,62,32,4,602,126,40,37,2,86,20,13,0,0,2,0,0,0,0,PE
0,589,204,118,5,1248,205,63,32,4,611,127,42,39,2,90,20,13,0,0,2,0,0,0,0,PE
0,590,205,118,5,1261,206,64,33,4,623,129,42,39,2,91,20,13,0,0,2,0,0,0,0,PE
0,592,206,122,5,1286,206,65,33,4,638,130,42,39,2,92,20,13,0,0,2,0,0,0,0,PE
0,595,206,124,5,1314,209,65,34,4,661,131,42,43,2,94,20,13,0,0,2,0,0,0,0,PE
0,602,206,124,5,1344,212,65,34,4,679,133,42,44,2,94,21,13,0,0,2,0,0,0,0,PE
0,605,208,126,5,1370,214,65,37,4,703,138,42,44,2,98,21,13,0,0,3,0,0,0,0,PE
0,615,212,128,5,1404,216,66,38,4,720,142,42,44,2,99,21,13,0,0,3,0,0,0,0,PE
0,620,214,130,5,1427,217,67,38,4,732,143,42,45,2,102,21,13,0,0,3,0,0,0,0,PE
0,622,216,133,5,1452,219,70,39,4,750,146,42,48,3,103,21,13,0,0,3,0,0,0,0,PE
0,627,218,137,5,1485,220,70,40,4,770,149,43,48,3,103,21,13,0,0,3,0,0,0,0,PE
0,637,222,140,5,1542,224,72,42,4,813,154,44,48,3,107,21,13,0,0,3,0,0,0,0,PE
0,644,224,145,5,1579,226,72,42,4,842,155,46,50,3,110,21,13,0,0,3,0,0,0,0,PE
0,646,225,148,5,1585,226,72,42,4,845,155,46,50,3,111,21,13,0,0,3,0,0,0,0,PE
0,646,225,152,5,1592,227,72,42,4,850,155,47,50,3,111,21,13,0,0,3,0,0,0,0,PE
0,647,227,161,5,1626,227,72,42,4,862,156,47,52,3,117,21,13,0,0,3,0,0,0,0,PE
0,648,227,162,5,1630,227,72,42,4,862,156,47,52,3,117,21,13,0,0,3,0,0,0,0,PE
0,653,228,168,5,1650,230,72,42,4,875,157,47,53,3,120,21,13,0,0,3,0,0,0,0,PE
0,654,228,169,5,1656,231,72,42,4,877,157,47,53,3,120,21,13,0,0,3,0,0,0,0,PE
0,654,228,171,6,1684,233,72,44,4,887,159,47,53,3,123,21,13,0,0,3,0,0,1,0,PE
0,654,228,172,6,1694,235,72,44,4,894,159,47,53,3,124,21,13,0,0,3,0,0,1,0,PE
0,655,231,172,6,1713,236,74,44,4,907,159,47,53,3,124,21,13,0,0,3,0,0,1,0,PE
0,659,233,172,6,1747,237,74,44,4,927,160,47,54,3,127,21,13,0,0,3,0,0,1,0,PE
0,661,234,178,6,1777,242,76,45,4,938,163,47,54,3,128,21,14,0,0,3,0,0,1,0,PE
0,669,235,180,6,1802,242,76,46,4,951,163,47,54,3,129,21,14,0,0,3,0,0,1,0,PE
0,672,236,182,7,1842,246,78,48,4,968,164,47,54,3,129,22,14,0,0,3,0,0,1,0,PE
0,678,239,185,7,1876,247,82,48,4,986,166,47,54,3,129,22,14,0,0,3,0,0,1,0,PE
0,678,239,187,7,1880,247,82,48,4,987,167,47,55,3,134,23,14,0,0,3,0,0,1,0,PE
