@relation sentiment

@attribute "-5" numeric
@attribute "-4" numeric
@attribute "-3" numeric
@attribute "-2" numeric
@attribute "-1" numeric
@attribute "0" numeric
@attribute "1" numeric
@attribute "2" numeric
@attribute "3" numeric
@attribute "4" numeric
@attribute "5" numeric
@attribute classification {P, PE}

@data
0,0,0,0,0,1,0,0,0,0,0,P
0,1,1,1,0,2,0,2,1,0,0,P
0,1,1,1,0,2,0,2,1,0,0,P
0,1,1,2,0,2,0,2,1,0,0,P
0,1,1,1,0,2,0,2,1,0,0,P
0,1,1,2,0,2,0,2,1,1,0,P
0,1,1,2,0,2,0,2,1,0,0,P
0,1,1,2,0,2,0,2,1,0,0,P
0,1,1,2,0,2,0,1,1,0,0,P
0,1,1,2,0,2,0,1,1,0,0,P
0,1,1,2,0,2,0,2,1,0,0,P
0,1,1,2,0,2,0,1,1,0,0,P
0,0,0,2,0,2,0,2,1,0,0,P
0,0,1,1,0,2,0,2,1,1,0,P
0,0,0,1,0,2,0,2,1,0,0,P
0,1,1,2,0,2,0,2,1,0,0,P
0,0,1,2,0,2,0,2,1,0,0,P
0,0,1,2,0,2,0,2,1,1,0,P
0,1,1,2,0,2,0,2,1,0,0,P
0,1,1,2,0,2,0,2,1,0,0,P
0,1,1,2,0,2,0,2,1,0,0,P
0,1,1,1,0,2,0,2,1,0,0,P
0,1,1,2,0,2,0,2,1,1,0,P
0,0,0,1,0,2,0,2,1,0,0,P
0,1,1,1,0,2,0,2,1,1,0,P
0,0,0,1,0,2,0,2,1,0,0,P
0,1,1,1,0,2,0,1,1,0,0,P
0,1,1,1,0,2,0,1,1,0,0,P
0,0,1,2,0,2,0,2,1,0,0,P
0,1,1,1,0,2,0,1,1,0,0,P
0,1,1,1,0,2,0,2,1,0,0,P
0,1,1,2,0,2,0,2,1,0,0,P
0,1,1,1,0,2,0,1,1,0,0,P
0,1,1,1,0,2,0,1,1,0,0,P
0,0,1,2,0,2,0,2,1,0,0,P
0,1,1,2,0,2,0,2,1,0,0,P
0,1,1,1,0,2,0,2,1,1,0,P
1,1,1,2,0,2,0,1,1,0,0,P
0,1,1,2,0,2,0,2,1,0,0,P
0,1,1,2,0,2,0,2,1,1,0,P
0,0,1,1,0,2,0,1,1,0,0,P
0,1,1,1,0,2,0,2,1,0,0,P
0,0,1,2,0,2,0,2,1,0,0,P
0,1,1,2,0,2,0,2,1,1,0,P
0,1,1,2,0,2,0,1,1,1,0,P
0,0,1,1,0,2,0,2,1,0,0,P
0,1,1,2,0,2,0,2,1,1,0,P
0,1,1,2,0,2,0,2,1,0,0,P
0,1,1,2,0,2,0,2,1,0,0,P
0,0,1,2,0,2,0,1,1,1,0,P
0,0,1,1,0,2,0,1,1,0,0,P
0,0,1,1,0,2,0,1,1,0,0,P
0,1,1,1,0,2,0,2,1,0,0,P
0,0,1,1,0,2,0,1,1,0,0,P
0,0,1,1,0,2,0,1,1,0,0,P
0,1,1,1,0,2,0,2,1,0,0,P
0,1,1,2,0,2,0,2,1,1,0,P
0,0,0,0,0,2,0,1,0,0,0,P
0,1,1,1,0,2,0,2,1,1,0,P
0,1,1,2,0,2,0,1,1,0,0,P
0,1,1,2,0,2,0,1,1,1,0,P
0,0,1,1,0,2,0,1,1,0,0,P
0,0,1,2,0,2,0,2,1,1,0,P
0,1,1,1,0,2,0,2,1,1,0,P
0,1,1,1,0,2,0,1,1,0,0,P
0,0,1,1,0,2,0,2,1,1,0,P
0,0,1,1,0,2,0,2,1,0,0,P
0,0,1,1,0,2,0,1,1,1,0,P
0,0,0,0,0,2,0,1,0,0,0,P
0,0,1,2,0,2,0,2,1,0,0,P
1,0,1,2,0,2,0,1,1,0,0,P
1,1,1,1,0,2,0,1,1,0,0,P
0,0,1,1,0,2,0,2,1,0,0,P
0,0,1,1,0,2,0,2,1,0,0,P
0,0,1,2,0,2,0,2,1,0,0,P
0,1,1,2,0,2,0,2,1,0,0,P
0,1,1,1,0,2,0,1,1,0,1,P
0,0,1,1,0,2,0,1,1,0,0,P
0,1,1,1,0,2,0,2,1,0,0,P
0,0,1,1,0,2,0,2,1,0,0,P
0,0,0,0,0,1,0,0,0,0,0,P
0,0,0,0,0,1,0,0,0,0,0,P
0,0,1,2,0,2,0,2,1,0,0,P
0,0,1,1,0,2,0,1,1,0,0,P
0,0,1,2,0,2,0,1,1,0,0,P
0,1,1,2,0,2,0,0,1,0,0,P
